SMILES,Molecular_Weight,Polar_Area,Complexity,XLogP,Heavy_Atom_Count,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Charge,Covalent_Unit_Count,es_natural
C1=CC=C2C=C3C(=CC2=C1)C4=NC5=NC(=NC6=C7C=C8C=CC=CC8=CC7=C([N-]6)N=C9C1=CC2=CC=CC=C2C=C1C(=N9)N=C3[N-]4)C1=CC2=CC=CC=C2C=C15.[Cu+2],776.3,76.2,1550,,57,0,4,0,2,True
CC1=CC(=C(N1C2=CC=CC=C2)C)/C=C/C3=[N+](C4=C(C=C3)C=C(C=C4)N(C)C)C.[Cl-],418.0,12.1,552,,30,0,2,0,2,True
CCCCCN(CCCCC)C1=CC=C(C=C1)/C=C/C=C/C2=CC=[N+](C=C2)CCCCS(=O)(=O)[O-],498.7,72.7,662,7.1,35,0,4,0,1,True
CN(C)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](C)C)C=C3O2)C4=CC=CC=C4.[Cl-],378.9,15.5,629,,27,0,3,0,2,True
C1=CC=C2C(=C1)C3=NC4=NC(=NC5=C6C=CC=CC6=C([N-]5)N=C7C8=CC=CC=C8C(=N7)N=C2[N-]3)C9=CC=CC=C94.[Fe+2],568.4,76.2,1080,,41,0,4,0,2,True
CCOC(=O)C1=CC=CC=C1C2=C3C=C(C(=O)C(=C3OC4=C(C(=C(C=C24)Br)[O-])Br)Br)Br.[K+],714.0,75.7,886,,32,0,5,0,2,True
CCNC1=CC2=C(C=C1C)C(=C3C=C(C(=NCC)C=C3O2)C)C4=C(C=C(C=C4)S(=O)(=O)[O-])S(=O)(=O)O.[Na+],552.6,162.0,1210,,37,2,9,0,2,True
C1=CC2=C(C=C1[O-])OC3=CC(=O)C=CC3=N2.[Na+],235.17,61.7,427,,17,0,4,0,2,True
C1=CC=C2C(=C1)C(=O)C3=C(N2)C=CC(=C3)N.Cl,246.69,55.1,292,,17,3,3,0,2,True
C1=CC=C2C=C3C(=CC2=C1)C4=NC5=NC(=NC6=C7C=C8C=CC=CC8=CC7=C(N6)N=C9C1=CC2=CC=CC=C2C=C1C(=N9)N=C3N4)C1=CC2=CC=CC=C2C=C15,714.8,109.0,1220,11.4,56,2,6,0,1,True
COC(=O)C1=CC=CC=C1C2=C3C=CC(=[NH2+])C=C3OC4=C2C=CC(=C4)N,345.4,87.1,670,2.5,26,2,4,1,1,True
C1=CC=C(C(=C1)C2=C3C=CC(=O)C=C3OC4=C2C=CC(=C4CN)O)C(=O)O,361.3,110.0,737,-0.4,27,3,6,0,1,True
